Name,StarType
Alpha Centauri,Yellow
Proxima Centauri,Red
Sirius,Blue
Epsilon Eridani,Yellow
Tau Ceti,Yellow
Vega,Blue
Altair,Blue
Fomalhaut,Blue
Arcturus,Red
Betelgeuse,Red
Rigel,Blue
Deneb,Blue
Capella,Yellow
Aldebaran,Red
Spica,Blue
Regulus,Blue
Pollux,Yellow
Castor,Yellow
Zeta Reticuli,Yellow
Barnard's Star,Red
Wolf 359,Red
Luyten's Star,Red
Kepler-186,Red
Kepler-452,Yellow
TRAPPIST-1,Red
Gliese 581,Red
Gliese 667,Red
Ross 128,Red
LHS 1140,Red
Epsilon Indi,Yellow
Helion Prime,Yellow
Vandor-3,Red
Kryos System,Blue
Astraeus,Yellow
Nadiris,Red
Solara Expanse,Yellow
Virellion,Blue
Kessari Reach,Yellow
Thaloris,Yellow
Echion,Yellow
Ravaryn,Blue
Ostryx,Blue
Velastra,Yellow
Nemoris,Yellow
Aurelon,Yellow
Cyradon,Red
Icarion,Blue
Mythara,Yellow
Tessara Prime,Yellow
Valkyros,Blue
Erethon,Red
Jandora,Yellow
Kalypsis,Red
Orinthal,Yellow
Rhyxos,Red
Talmaris,Yellow
Zephyria,Yellow
Nerathion,Blue
Virex-9,Red
Solstice Gate,Blue
Asterion,Yellow
Korvallis,Red
Threxilon,Blue
Mendara,Yellow
Olyndra,Yellow
Vorthis,Red
Kelthara,Yellow
Zyranth,Blue
Eldoria,Yellow
Ravess,Red
Solinar,Yellow
Kryndor,Blue
Vastora,Yellow
Eryndel,Yellow
Tiraxis,Red
Vorun Prime,Yellow
Calypsis,Yellow
Rendakar,Red
Thessara,Yellow
Vornak,Red
Illustra,Yellow
Zendaris,Blue
Morthal,Red
Eryxion,Blue
Talvannis,Yellow
Kryllos,Red
Aurethion,Yellow
Vandrix,Blue
Solvaris,Yellow
Nexara,Yellow
Rhyllion,Red
Tavros,Blue
Kelvannis,Yellow
Orionis,Blue
Thalvyr,Red
Velkaris,Yellow
Cyranthos,Blue
Jorvanna,Yellow
Ravion,Red
Solkara,Yellow
Myrralon,Yellow
Threxar,Blue
Valnyr,Yellow
Eryndor,Red
Zyphera,Blue
Korvantis,Yellow
